entry_time,rows,unique_symbols,unique_signal_times,duplicate_rows,expected_signal_time,timing_ok
2026-06-17 20:00:00+00:00,5,5,1,0,2026-06-17 16:00:00+00:00,True
2026-07-17 04:00:00+00:00,5,5,1,0,2026-07-17 00:00:00+00:00,True
2026-07-19 16:00:00+00:00,5,5,1,0,2026-07-19 12:00:00+00:00,True
2026-07-25 00:00:00+00:00,5,5,1,0,2026-07-24 20:00:00+00:00,True
2026-07-27 12:00:00+00:00,5,5,1,0,2026-07-27 08:00:00+00:00,True
2026-07-28 08:00:00+00:00,5,5,1,0,2026-07-28 04:00:00+00:00,True
2026-07-31 12:00:00+00:00,5,5,1,0,2026-07-31 08:00:00+00:00,True
2026-08-06 20:00:00+00:00,5,5,1,0,2026-08-06 16:00:00+00:00,True
2026-08-07 08:00:00+00:00,5,5,1,0,2026-08-07 04:00:00+00:00,True
2026-08-10 00:00:00+00:00,5,5,1,0,2026-08-09 20:00:00+00:00,True
2026-08-16 04:00:00+00:00,5,5,1,0,2026-08-16 00:00:00+00:00,True
2026-08-28 20:00:00+00:00,5,5,1,0,2026-08-28 16:00:00+00:00,True
2025-12-10 12:00:00+00:00,4,4,1,0,2025-12-10 08:00:00+00:00,True
2025-12-10 16:00:00+00:00,4,4,1,0,2025-12-10 12:00:00+00:00,True
2025-12-16 20:00:00+00:00,4,4,1,0,2025-12-16 16:00:00+00:00,True
2025-12-28 20:00:00+00:00,4,4,1,0,2025-12-28 16:00:00+00:00,True
2025-12-29 16:00:00+00:00,4,4,1,0,2025-12-29 12:00:00+00:00,True
2025-12-31 04:00:00+00:00,4,4,1,0,2025-12-31 00:00:00+00:00,True
2026-01-01 00:00:00+00:00,4,4,1,0,2025-12-31 20:00:00+00:00,True
2026-01-23 00:00:00+00:00,4,4,1,0,2026-01-22 20:00:00+00:00,True
2026-01-28 12:00:00+00:00,4,4,1,0,2026-01-28 08:00:00+00:00,True
2026-01-29 08:00:00+00:00,4,4,1,0,2026-01-29 04:00:00+00:00,True
2026-02-01 20:00:00+00:00,4,4,1,0,2026-02-01 16:00:00+00:00,True
2026-02-02 12:00:00+00:00,4,4,1,0,2026-02-02 08:00:00+00:00,True
2026-02-04 08:00:00+00:00,4,4,1,0,2026-02-04 04:00:00+00:00,True
2026-02-06 04:00:00+00:00,4,4,1,0,2026-02-06 00:00:00+00:00,True
2026-02-22 04:00:00+00:00,4,4,1,0,2026-02-22 00:00:00+00:00,True
2026-02-24 12:00:00+00:00,4,4,1,0,2026-02-24 08:00:00+00:00,True
2026-02-27 20:00:00+00:00,4,4,1,0,2026-02-27 16:00:00+00:00,True
2026-03-06 12:00:00+00:00,4,4,1,0,2026-03-06 08:00:00+00:00,True
2026-03-17 20:00:00+00:00,4,4,1,0,2026-03-17 16:00:00+00:00,True
2026-03-19 04:00:00+00:00,4,4,1,0,2026-03-19 00:00:00+00:00,True
2026-03-23 00:00:00+00:00,4,4,1,0,2026-03-22 20:00:00+00:00,True
2026-03-23 04:00:00+00:00,4,4,1,0,2026-03-23 00:00:00+00:00,True
