symbol,variant,candles,trades,profit_factor,expectancy_r,win_rate,total_return_pct,max_drawdown_pct,longs,shorts,filled,expired
KITEUSDT,1h_d3_e24,2880,21,0.902598290894957,-0.05489919508404473,33.333333333333336,-3.1211678535636445,-15.345433367855982,11,10,21,16
KITEUSDT,1h_d4_e24,2880,11,0.39368310048480915,-0.5278945139318924,18.181818181818183,-11.292577623577793,-13.39025978325793,4,7,11,8
KITEUSDT,15m_d3_e24,11520,86,1.0607494662599688,0.06770207896826569,39.53488372093023,8.138215115339742,-18.713156525965292,45,41,86,43
KITEUSDT,15m_d4_e24,11520,36,0.9452513504066339,-0.023205072641762376,36.111111111111114,-3.203066056723425,-21.814879142257677,12,24,36,28
KITEUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
KITEUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
VELODROMEUSDT,1h_d3_e24,2880,29,0.9226402587651694,-0.03832250843250147,34.48275862068966,-3.3948245185886794,-20.687655099594092,9,20,29,19
VELODROMEUSDT,1h_d4_e24,2880,14,0.1538490327230828,-0.8673693992191842,7.142857142857143,-21.86675593625327,-26.26883897093609,4,10,14,11
VELODROMEUSDT,15m_d3_e24,11520,55,1.1147174196127263,0.09732058358352684,41.81818181818182,9.506708852129119,-16.631554709931084,25,30,55,35
VELODROMEUSDT,15m_d4_e24,11520,21,1.4882509495888872,0.32976544289855836,47.61904761904762,13.670337954819821,-8.448701344439034,9,12,21,27
VELODROMEUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
VELODROMEUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
PARTIUSDT,1h_d3_e24,2880,24,1.2809720753737914,0.2097757096517461,41.666666666666664,9.397964971315753,-16.457525607831613,8,16,24,11
PARTIUSDT,1h_d4_e24,2880,14,3.136239513577113,0.9029778854007987,64.28571428571429,27.737229692256783,-9.26837127847743,6,8,14,9
PARTIUSDT,15m_d3_e24,11520,58,0.6922443628102052,-0.2251218286476212,29.310344827586206,-24.757332025968203,-30.370685973516885,22,36,58,48
PARTIUSDT,15m_d4_e24,11520,32,1.1782109603959612,0.1381926783016443,40.625,7.672929769368397,-12.30972455533278,14,18,32,28
PARTIUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,1
PARTIUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
ASRUSDT,1h_d3_e24,2880,17,0.7325039411763046,-0.20070205996454102,29.41176470588235,-7.232068916672462,-14.200713381383267,10,7,17,4
ASRUSDT,1h_d4_e24,2880,8,1.0156325432855111,0.03394316054341451,37.5,0.18317028916410294,-11.763710100133693,3,5,8,2
ASRUSDT,15m_d3_e24,11520,29,2.835994669321497,0.770859562610424,62.06896551724138,53.84429039240188,-8.785553981401485,16,13,29,11
