candidate,symbol,d,entry_time,exit_time,side,r_multiple,pnl
BTC_D3,BTCUSDT,3,2024-09-12 16:00:00+00:00,2024-09-12 17:00:00+00:00,short,-1.2281737557329744,-14.853652113285968
BTC_D3,BTCUSDT,3,2024-09-13 05:00:00+00:00,2024-09-13 10:00:00+00:00,short,-1.1598245497417057,-13.682477602119874
BTC_D3,BTCUSDT,3,2024-09-15 10:00:00+00:00,2024-09-15 23:00:00+00:00,long,-1.1261615730395644,-12.977181061036644
BTC_D3,BTCUSDT,3,2024-09-18 20:00:00+00:00,2024-09-18 22:00:00+00:00,long,1.9607183156591836,22.085198650849513
BTC_D3,BTCUSDT,3,2024-09-20 10:00:00+00:00,2024-09-20 14:00:00+00:00,short,1.9632632173204516,22.981045154820528
BTC_D3,BTCUSDT,3,2024-09-21 22:00:00+00:00,2024-09-21 23:00:00+00:00,short,-1.262960595636627,-15.364111805765384
BTC_D3,BTCUSDT,3,2024-09-22 03:00:00+00:00,2024-09-22 22:00:00+00:00,short,-1.1565904646371645,-13.714702936773826
BTC_D3,BTCUSDT,3,2024-09-23 04:00:00+00:00,2024-09-23 07:00:00+00:00,long,-1.1199555219743753,-12.973093290610164
BTC_D3,BTCUSDT,3,2024-09-24 13:00:00+00:00,2024-09-24 17:00:00+00:00,short,-1.1560373490886404,-13.091102378725648
BTC_D3,BTCUSDT,3,2024-09-29 09:00:00+00:00,2024-09-29 17:00:00+00:00,short,-1.2791006823483686,-14.149789222559725
BTC_D3,BTCUSDT,3,2024-10-03 00:00:00+00:00,2024-10-04 13:00:00+00:00,short,-1.075143570181133,-11.589294360097636
BTC_D3,BTCUSDT,3,2024-10-12 00:00:00+00:00,2024-10-12 15:00:00+00:00,short,-1.1062843692676296,-11.668549250635545
BTC_D3,BTCUSDT,3,2024-10-14 00:00:00+00:00,2024-10-14 03:00:00+00:00,long,1.94454536339873,20.056317883574614
BTC_D3,BTCUSDT,3,2024-10-15 07:00:00+00:00,2024-10-15 13:00:00+00:00,short,-1.079604527752731,-11.5682527236219
BTC_D3,BTCUSDT,3,2024-10-16 21:00:00+00:00,2024-10-17 13:00:00+00:00,short,1.9551407798813345,20.497507765250752
