candidate,freq,period,trades,pf,expectancy_r,wins,losses
BTC_D3,M,2020-08,11,1.9862532533752986,0.5263923191533543,6,5
BTC_D3,M,2020-09,11,2.024603850554318,0.5410013958892312,6,5
BTC_D3,M,2020-10,14,0.696399053185596,-0.24321188907143856,4,10
BTC_D3,M,2020-11,12,0.8883372014481339,-0.08241729463406176,4,8
BTC_D3,M,2020-12,13,0.7766423254285978,-0.17387695228006955,4,9
BTC_D3,M,2021-01,12,1.3084179133594311,0.19531524754221494,5,7
BTC_D3,M,2021-02,16,0.6165920107901595,-0.3078963319822847,4,12
BTC_D3,M,2021-03,11,2.2066852886450428,0.59149431437837,6,5
BTC_D3,M,2021-04,13,1.5073850040058479,0.30466219562570906,6,7
BTC_D3,M,2021-05,19,1.3562221126376168,0.21965276373844586,8,11
BTC_D3,M,2021-06,8,0.6159702247916298,-0.3083180284898308,2,6
BTC_D3,M,2021-07,16,0.7979709824417753,-0.15600363518651228,5,11
BTC_D3,M,2021-08,14,0.4816923031801587,-0.45457125994173986,3,11
BTC_D3,M,2021-09,17,0.9667784319409755,-0.02388158889836542,6,11
BTC_D3,M,2021-10,8,1.0674556578523284,0.04660978946721081,3,5
BTC_D3,M,2021-11,8,5.2573496640521435,1.197643188199496,6,2
BTC_D3,M,2021-12,10,1.81532727348678,0.44158032353167176,5,5
BTC_D3,M,2022-01,14,1.7740305348694858,0.4291550555331446,7,7
BTC_D3,M,2022-02,10,0.4424207261365024,-0.49605139613148663,2,8
BTC_D3,M,2022-03,10,1.1709742611179075,0.11442917815072107,4,6
BTC_D3,M,2022-04,7,1.3460980770596274,0.21709195590849492,3,4
BTC_D3,M,2022-05,17,0.7543308274886109,-0.18937119920682785,5,12
BTC_D3,M,2022-06,13,1.1615541214851448,0.10547644780767841,5,8
BTC_D3,M,2022-07,6,0.8959382644613959,-0.0764864131562214,2,4
BTC_D3,M,2022-08,12,0.8473500914689164,-0.1177363576614872,4,8
BTC_D3,M,2022-09,10,0.43647222576810074,-0.5104655722790767,2,8
BTC_D3,M,2022-10,15,1.3664124208840527,0.24363199804128435,7,8
BTC_D3,M,2022-11,8,1.0505639719756674,0.035489935262848715,3,5
BTC_D3,M,2022-12,4,1.3408408260231564,0.2506453484092806,2,2
BTC_D3,M,2023-01,8,2.4406491293829684,0.6884886727408901,5,3
BTC_D3,M,2023-02,7,0.6453156887861813,-0.3086204707083394,2,5
BTC_D3,M,2023-03,5,0.0,-1.1123515082293967,0,5
BTC_D3,M,2023-04,9,2.1699904228356504,0.5764056759944189,5,4
BTC_D3,M,2023-05,11,0.3505393561335651,-0.6499957725793605,2,9
BTC_D3,M,2023-06,9,0.7668159498071355,-0.1943732911792415,3,6
BTC_D3,M,2023-07,14,1.1684910081184892,0.11891094433024414,6,8
BTC_D3,M,2023-08,12,0.48051870258600493,-0.5230292634307816,3,9
BTC_D3,M,2023-09,9,0.7884325069406793,-0.17465063237091646,3,6
BTC_D3,M,2023-10,9,2.0930797875523766,0.5655717069561232,5,4
BTC_D3,M,2023-11,10,1.10404410341273,0.07397177740239894,4,6
BTC_D3,M,2023-12,7,2.2926564828975935,0.6340550001466551,4,3
BTC_D3,M,2024-01,11,0.6237859580196036,-0.32444595017386946,3,8
BTC_D3,M,2024-02,8,0.5737050774267186,-0.36375813616516167,2,6
BTC_D3,M,2024-03,5,0.424922806637592,-0.5232422291658749,1,4
BTC_D3,M,2024-04,9,2.114543066134732,0.5755080884776353,5,4
BTC_D3,M,2024-05,18,0.4800750609220271,-0.47398446517080245,4,14
BTC_D3,M,2024-06,7,0.6661191392877529,-0.28092895276329344,2,5
BTC_D3,M,2024-07,10,1.6142655344115326,0.37157074386361943,5,5
BTC_D3,M,2024-08,6,0.8231163916692458,-0.14143017537187322,2,4
BTC_D3,M,2024-09,12,0.3324191107442679,-0.6566948661446622,2,10
BTC_D3,M,2024-10,13,1.0505491719174596,0.03606394848774956,5,8
BTC_D3,M,2024-11,12,3.2304179937343878,0.9006832203531446,8,4
BTC_D3,M,2024-12,14,1.6659885611437795,0.38960002692006085,7,7
BTC_D3,M,2025-01,10,1.6717357375946207,0.3915027449661208,5,5
BTC_D3,M,2025-02,12,1.2107761283451808,0.1414378516762966,5,7
BTC_D3,M,2025-03,10,2.4254924869208976,0.6919092834487345,6,4
BTC_D3,M,2025-04,12,2.313207610464965,0.650336828485211,7,5
BTC_D3,M,2025-05,15,1.4782255117816678,0.29533627964871934,7,8
BTC_D3,M,2025-06,12,2.237955713780437,0.6176460826482603,7,5
BTC_D3,M,2025-07,19,1.3885334884334624,0.25698750745405796,9,10
BTC_D3,M,2025-08,8,1.4889234118043264,0.3139802614286753,4,4
BTC_D3,M,2025-09,10,1.0744370072904945,0.05319469431182968,4,6
BTC_D3,M,2025-10,11,0.9778934746200418,-0.016008028900400054,4,7
BTC_D3,M,2025-11,9,1.3414809454921817,0.22165267775550881,4,5
BTC_D3,M,2025-12,10,2.5419573480582542,0.7165217498745136,6,4
BTC_D3,M,2026-01,11,1.3668136087669276,0.23631202787485897,5,6
BTC_D3,M,2026-02,9,0.5071805001391566,-0.42129835156302714,2,7
BTC_D3,M,2026-03,16,1.7212939781923395,0.4126584571424755,8,8
BTC_D3,M,2026-04,11,0.9376230925684832,-0.046679023276992776,4,7
BTC_D3,M,2026-05,10,1.6437399108039248,0.3799581331651206,5,5
BTC_D3,M,2026-06,9,0.8213634324246694,-0.139995902575993,3,6
BTC_D3,M,2026-07,11,2.0231506763357863,0.5342523129007546,6,5
BTC_D3,M,2026-08,12,0.3127060543978189,-0.7042315503817488,2,10
BTC_D3,M,2026-09,7,0.2573593440892697,-0.7725058509954,1,6
BTC_D3,Q,2019Q3,23,0.476471707463003,-0.46900674192938135,5,18
BTC_D3,Q,2019Q4,29,0.649177023948938,-0.29252133116836615,8,21
BTC_D3,Q,2020Q1,28,1.3030132358214537,0.1952382325225171,12,16
BTC_D3,Q,2020Q2,32,1.0352020019362598,0.024905083238998857,12,20
BTC_D3,Q,2020Q3,33,1.5050835672536014,0.31496170596584305,16,17
BTC_D3,Q,2020Q4,39,0.779601400097052,-0.17062498364743034,12,27
BTC_D3,Q,2021Q1,39,1.1518517992846604,0.10061228505005361,15,24
BTC_D3,Q,2021Q2,40,1.2184462208950717,0.14168667065615106,16,24
BTC_D3,Q,2021Q3,47,0.7485739602484367,-0.19714984709448446,14,33
BTC_D3,Q,2021Q4,26,2.0890986339699467,0.5526856560250144,14,12
BTC_D3,Q,2022Q1,34,1.09386765853688,0.06446907640165789,13,21
BTC_D3,Q,2022Q2,37,0.9873579478524064,-0.00887764523396733,13,24
BTC_D3,Q,2022Q3,28,0.6929917623007107,-0.24915751763092644,8,20
BTC_D3,Q,2022Q4,27,1.2666443533793985,0.18299929060589545,12,15
BTC_D3,Q,2023Q1,20,0.8569261276373292,-0.11070957270891194,7,13
BTC_D3,Q,2023Q2,29,0.8382368805321685,-0.12798834603573686,10,19
BTC_D3,Q,2023Q3,35,0.7896204656506269,-0.17667010376812026,12,23
BTC_D3,Q,2023Q4,26,1.6755473321747087,0.3949326206790648,13,13
BTC_D3,Q,2024Q1,24,0.5640333459868407,-0.37896590362763466,6,18
BTC_D3,Q,2024Q2,34,0.8026227167447324,-0.15643088959172888,11,23
BTC_D3,Q,2024Q3,28,0.7786733930445501,-0.17904328597610683,9,19
BTC_D3,Q,2024Q4,39,1.7499350315420001,0.4290110346528033,20,19
BTC_D3,Q,2025Q1,32,1.6688945543757598,0.39160545325825347,16,16
BTC_D3,Q,2025Q2,39,1.926982265878481,0.5037394648290371,21,18
BTC_D3,Q,2025Q3,37,1.318964033689288,0.21423112638310268,17,20
BTC_D3,Q,2025Q4,30,1.486829422170367,0.29946677602134386,14,16
BTC_D3,Q,2026Q1,36,1.226048942878024,0.15028562380099475,15,21
BTC_D3,Q,2026Q2,30,1.0956303711545783,0.06753829841401157,12,18
BTC_D3,Q,2026Q3,30,0.6847860043335172,-0.26605147065468276,9,21
BTC_D3,Y,2019,52,0.5697192247551246,-0.370582185928046,13,39
BTC_D3,Y,2020,132,1.1093804125746973,0.07578026597652633,52,80
BTC_D3,Y,2021,152,1.144306415861619,0.09667848806847194,59,93
BTC_D3,Y,2022,126,0.9981018049468016,-0.0013647136770411452,46,80
BTC_D3,Y,2023,110,0.9778219594618216,-0.016736899849483,42,68
BTC_D3,Y,2024,125,0.9709430372901398,-0.021564908712429415,46,79
BTC_D3,Y,2025,138,1.5897645902044886,0.35570846803921496,68,70
BTC_D3,Y,2026,96,0.9922615877297688,-0.005678257399836656,36,60
BTC_D4,M,2019-07,1,inf,1.9759168930382465,1,0
BTC_D4,M,2019-08,3,0.883311738916993,-0.08582938312866095,1,2
BTC_D4,M,2019-09,2,1.6657287747596004,0.39214318807889015,1,1
BTC_D4,M,2019-10,3,0.8460217337001286,-0.1185408685980723,1,2
BTC_D4,M,2019-11,7,0.0,-1.1195848119407241,0,7
BTC_D4,M,2019-12,2,0.0,-1.1444502035611408,0,2
BTC_D4,M,2020-01,7,1.3069099352538385,0.1950162434551111,3,4
BTC_D4,M,2020-02,3,3.5352524596502426,0.9351956192837726,2,1
BTC_D4,M,2020-03,4,0.0,-1.0679715271560595,0,4
BTC_D4,M,2020-04,4,1.7543323245280544,0.42482243618857235,2,2
BTC_D4,M,2020-06,5,1.1369371973391433,0.09282949205471866,2,3
BTC_D4,M,2020-07,5,2.4012960436747375,0.6700950684614583,3,2
