entry_time,r,side
2022-06-24 13:00:00+00:00,1.992303311258278,short
2022-06-28 08:00:00+00:00,1.9839565246579678,short
2022-07-03 02:00:00+00:00,-1.0929161445509283,short
2022-07-05 09:00:00+00:00,-1.1540283720737954,long
2022-07-05 19:00:00+00:00,-1.1074278317055,short
2022-07-10 20:00:00+00:00,-1.0645929920076296,long
2022-07-13 01:00:00+00:00,1.9615370672097758,long
2022-07-14 09:00:00+00:00,1.9739916945975893,long
2022-07-14 15:00:00+00:00,-1.1199075253545503,short
2022-07-17 08:00:00+00:00,-1.0556741735131483,long
2022-07-18 23:00:00+00:00,-1.0555072110587727,short
2022-07-19 05:00:00+00:00,-1.0517250560506954,short
2022-07-20 17:00:00+00:00,-1.0534509995056804,long
2022-07-24 16:00:00+00:00,-1.0778391062875194,long
2022-07-26 20:00:00+00:00,1.975995210753282,long
2022-08-01 20:00:00+00:00,-1.095229448042221,short
2022-08-02 17:00:00+00:00,1.9703704318235773,short
2022-08-02 19:00:00+00:00,-1.0795078472091,long
2022-08-04 01:00:00+00:00,1.9662332471679465,short
2022-08-05 21:00:00+00:00,-1.1009413171789784,short
2022-08-06 23:00:00+00:00,1.961197381835835,long
2022-08-08 20:00:00+00:00,1.966587365131773,short
2022-08-08 22:00:00+00:00,1.943344238517324,long
2022-08-11 07:00:00+00:00,-1.077708113489545,long
2022-08-14 13:00:00+00:00,-1.1895070333161786,long
2022-08-14 16:00:00+00:00,-1.1895070333161788,long
2022-08-14 22:00:00+00:00,-1.0982118808189545,long
2022-08-16 14:00:00+00:00,1.9597143665259944,long
2022-08-17 19:00:00+00:00,-1.0644882288670188,long
2022-08-20 03:00:00+00:00,1.9853611090667196,long
2022-08-25 07:00:00+00:00,1.9679535801072883,long
2022-08-26 22:00:00+00:00,-1.1870048584892232,long
2022-08-30 21:00:00+00:00,1.9370694960720425,short
2022-08-31 08:00:00+00:00,-1.1066125597755532,long
2022-08-31 19:00:00+00:00,1.9658007588577007,short
2022-09-02 09:00:00+00:00,-1.0861620363326847,short
2022-09-08 05:00:00+00:00,-1.0870291301428312,short
2022-09-12 18:00:00+00:00,-1.141470189912267,short
2022-09-13 02:00:00+00:00,-1.0898737403060612,long
2022-09-13 12:00:00+00:00,1.974109144495778,short
2022-09-15 02:00:00+00:00,-1.0737666305735576,long
2022-09-17 10:00:00+00:00,-1.0646584640873387,short
2022-09-19 19:00:00+00:00,1.9850989297033304,short
2022-09-20 05:00:00+00:00,-1.058214090027729,short
2022-09-24 21:00:00+00:00,-1.024421460098228,long
2022-09-29 06:00:00+00:00,-1.0643430451762483,long
2022-10-04 07:00:00+00:00,-1.1206136508001223,short
2022-10-12 08:00:00+00:00,-1.131646342399635,long
2022-10-16 02:00:00+00:00,-1.1025363059246223,long
2022-10-18 09:00:00+00:00,-1.1181760172494475,long
2022-10-22 09:00:00+00:00,1.951080023692911,long
2022-10-23 01:00:00+00:00,-1.2161008272544176,long
2022-10-25 00:00:00+00:00,1.9626109347879985,short
2022-10-25 15:00:00+00:00,-1.1391717309095684,short
2022-10-28 17:00:00+00:00,-1.135510117086327,short
2022-11-01 06:00:00+00:00,1.9800878100534134,short
2022-11-07 18:00:00+00:00,1.9547473941212135,long
2022-11-11 00:00:00+00:00,-1.0257905296017065,long
2022-11-11 21:00:00+00:00,-1.070415502860327,short
2022-11-11 23:00:00+00:00,1.9806541444054342,short
2022-11-12 12:00:00+00:00,-1.07064340589824,long
2022-11-14 19:00:00+00:00,-1.0385647549145307,short
2022-11-15 04:00:00+00:00,-1.0555251692545409,short
2022-11-16 10:00:00+00:00,1.9795469757873252,short
2022-11-17 05:00:00+00:00,1.979546975787325,short
2022-11-18 07:00:00+00:00,-1.063584854099974,short
2022-11-20 20:00:00+00:00,-1.064145525716033,long
2022-11-21 16:00:00+00:00,1.980283014667329,long
2022-11-22 07:00:00+00:00,-1.1324366932323864,short
2022-11-23 14:00:00+00:00,-1.0974269188691363,short
2022-11-24 12:00:00+00:00,-1.1602562010431785,short
2022-11-26 07:00:00+00:00,1.9852763557776354,short
2022-12-01 02:00:00+00:00,-1.0544136696736808,long
2022-12-02 11:00:00+00:00,-1.2128204330250714,long
2022-12-02 17:00:00+00:00,-1.2732920639170373,short
2022-12-03 06:00:00+00:00,1.961277952973994,long
2022-12-04 18:00:00+00:00,1.9586140389255036,long
2022-12-05 21:00:00+00:00,1.9671023240932706,short
2022-12-08 01:00:00+00:00,-1.1081468651201165,short
2022-12-09 05:00:00+00:00,1.9588672016339794,short
2022-12-09 13:00:00+00:00,-1.081621663840114,long
2022-12-12 22:00:00+00:00,-1.437410029515749,short
2022-12-13 10:00:00+00:00,-1.1136832088989224,short
2022-12-20 08:00:00+00:00,1.9749455281717005,long
2022-12-22 01:00:00+00:00,1.9127764408904564,long
2022-12-22 13:00:00+00:00,-1.157605396112361,long
2023-01-01 15:00:00+00:00,1.9092590109609997,long
2023-01-03 00:00:00+00:00,-1.1375017619728929,long
2023-01-03 21:00:00+00:00,-1.0978164125556564,long
2023-01-09 17:00:00+00:00,-1.035963595616145,long
2023-01-16 17:00:00+00:00,1.9564674184052602,long
2023-01-16 21:00:00+00:00,-1.15753726641118,long
2023-01-17 00:00:00+00:00,-1.15753726641118,long
2023-01-17 07:00:00+00:00,-1.1407866357171625,short
2023-01-17 22:00:00+00:00,-1.0881964132565343,long
2023-01-18 13:00:00+00:00,1.9811917817938574,short
2023-01-19 11:00:00+00:00,1.9453444465396943,long
2023-01-19 13:00:00+00:00,-1.1983131543560142,long
2023-01-23 04:00:00+00:00,1.9870570749431837,long
2023-01-24 08:00:00+00:00,1.98245274919244,short
2023-01-25 05:00:00+00:00,1.9863790751074006,long
2023-01-26 13:00:00+00:00,1.9651103257407376,long
2023-01-27 17:00:00+00:00,1.9581197379823612,long
2023-01-28 04:00:00+00:00,-1.0730022651928384,short
2023-02-01 12:00:00+00:00,-1.1193795629905952,long
2023-02-03 06:00:00+00:00,-1.1127524927379169,long
2023-02-04 10:00:00+00:00,-1.2341465064559618,short
2023-02-07 20:00:00+00:00,-1.209089337928882,short
2023-02-08 01:00:00+00:00,-1.0418235291605145,long
2023-02-12 01:00:00+00:00,-1.1443649262510507,long
2023-02-13 08:00:00+00:00,-1.0669466779304277,long
2023-02-17 05:00:00+00:00,1.9760709598112678,long
2023-02-17 22:00:00+00:00,-1.0833941508841813,long
2023-02-22 13:00:00+00:00,-1.1055908003139325,long
2023-02-23 17:00:00+00:00,1.9656089839506852,short
2023-02-26 11:00:00+00:00,-1.0554984546843438,long
2023-03-05 01:00:00+00:00,1.961234493083876,short
2023-03-10 14:00:00+00:00,-1.04257094692166,long
2023-03-13 04:00:00+00:00,-1.0495410286412221,short
2023-03-14 21:00:00+00:00,1.956800390165356,long
2023-03-16 05:00:00+00:00,-1.080587668909592,short
2023-03-17 17:00:00+00:00,-1.0432323513734783,short
2023-03-27 05:00:00+00:00,1.9766682714134576,long
2023-04-04 23:00:00+00:00,1.969226070678477,long
2023-04-05 15:00:00+00:00,-1.1107651103985838,long
2023-04-06 21:00:00+00:00,1.9681443818595283,long
2023-04-09 01:00:00+00:00,1.9034437116243037,short
2023-04-13 05:00:00+00:00,1.9489283306076235,long
2023-04-14 21:00:00+00:00,-1.0461246926617953,long
2023-04-17 22:00:00+00:00,-1.274886579962973,short
2023-04-23 10:00:00+00:00,-1.2198695766574639,long
2023-04-24 08:00:00+00:00,-1.0608680552790242,long
2023-04-24 20:00:00+00:00,-1.0358041413552308,long
2023-04-28 13:00:00+00:00,1.960854357161004,long
2023-04-29 17:00:00+00:00,1.9700388789690975,long
2023-05-02 01:00:00+00:00,-1.0699717813975507,long
2023-05-04 13:00:00+00:00,1.9682077812973418,long
2023-05-06 07:00:00+00:00,-1.0633230250600187,long
2023-05-06 19:00:00+00:00,-1.071089576583761,long
2023-05-09 13:00:00+00:00,-1.0934311497098301,long
2023-05-10 21:00:00+00:00,1.9931006467062002,long
2023-05-19 21:00:00+00:00,-1.1326735857295884,short
2023-05-21 22:00:00+00:00,-1.1426627140031467,long
2023-05-22 18:00:00+00:00,-1.108826088379999,short
2023-05-23 06:00:00+00:00,-1.1150405768570628,long
2023-06-07 15:00:00+00:00,-1.1169132937352968,long
2023-06-08 09:00:00+00:00,-1.1322574321419838,short
2023-06-09 01:00:00+00:00,-1.1161479993902372,short
2023-06-09 17:00:00+00:00,1.9837950326888625,short
2023-06-11 23:00:00+00:00,-1.0533608564357144,short
2023-06-13 08:00:00+00:00,1.9714756139976557,long
2023-06-14 00:00:00+00:00,-1.1021810764934565,long
2023-06-14 17:00:00+00:00,1.9628050198563205,short
2023-06-19 06:00:00+00:00,-1.1223001275408704,short
2023-06-22 20:00:00+00:00,-1.1041631310351276,long
2023-06-23 15:00:00+00:00,-1.1096577115473987,short
2023-06-25 11:00:00+00:00,-1.1478776425507429,long
